"period"	"subject"	"perc_stock"	"condition"
99	"le109"	0.5	"Shock experience"
100	"le109"	0.58001800180018	"Shock experience"
101	"le109"	0.57998177053663	"Shock experience"
102	"le109"	0.529990279604323	"Shock experience"
103	"le109"	0.530025045139496	"Shock experience"
104	"le109"	0.210000624258693	"Shock experience"
105	"le109"	0.209978172747116	"Shock experience"
106	"le109"	0.469985085756898	"Shock experience"
107	"le109"	0.519982623805387	"Shock experience"
108	"le109"	0.610007894577033	"Shock experience"
109	"le109"	0.610012852683763	"Shock experience"
110	"le109"	0.470031545741325	"Shock experience"
111	"le109"	0.470009248249439	"Shock experience"
112	"le109"	0.299986714494486	"Shock experience"
113	"le109"	0.530027697088428	"Shock experience"
114	"le109"	0.070008899436369	"Shock experience"
115	"le109"	0.0700311249444197	"Shock experience"
116	"le109"	0.0700059014458542	"Shock experience"
117	"le109"	0.0700222057735011	"Shock experience"
118	"le109"	0.409993308052643	"Shock experience"
119	"le109"	0.459989712690132	"Shock experience"
120	"le109"	0.370028068734169	"Shock experience"
121	"le109"	0.369986541049798	"Shock experience"
122	"le109"	0.370007286215804	"Shock experience"
123	"le109"	0.370017165744803	"Shock experience"
124	"le109"	0.370000623947089	"Shock experience"
125	"le109"	0.369994463923233	"Shock experience"
126	"le109"	0.51999006704743	"Shock experience"
127	"le109"	0.560014727540501	"Shock experience"
128	"le109"	0.559987911755818	"Shock experience"
129	"le109"	0.139998733616159	"Shock experience"
130	"le109"	0.139973253518436	"Shock experience"
131	"le109"	0.549996845624882	"Shock experience"
132	"le109"	0.550016061676839	"Shock experience"
133	"le109"	0.12000272888525	"Shock experience"
134	"le109"	0.0500238533360594	"Shock experience"
135	"le109"	0.300013508037282	"Shock experience"
136	"le109"	0.30002040955167	"Shock experience"
137	"le109"	0.490011434721195	"Shock experience"
138	"le109"	0.489994699178373	"Shock experience"
